Type,Weight,Elevators,Winglets,theta,rou,result
C,95,20,1,50,90,40.9
C,95,25,1,50,90,43.7
C,95,30,1,50,90,45.6
C,95,35,1,50,90,46.9
C,95,40,1,50,90,47.6
C,95,45,1,50,90,47.5
C,95,50,1,50,90,47.3
C,95,55,1,50,90,46.4
C,95,60,1,50,90,45.3
C,95,65,1,50,90,43.9
C,95,70,1,50,90,42.4
C,95,75,1,50,90,40.8
C,90,20,1,50,90,41.3
C,90,25,1,50,90,44.0
C,90,30,1,50,90,46.0
C,90,35,1,50,90,47.1
C,90,40,1,50,90,47.7
C,90,45,1,50,90,47.7
C,90,50,1,50,90,47.2
C,90,55,1,50,90,46.2
C,90,60,1,50,90,45.1
C,90,65,1,50,90,43.5
C,90,70,1,50,90,41.9
C,90,75,1,50,90,40.2
C,85,20,1,50,90,41.7
C,85,25,1,50,90,44.5
C,85,30,1,50,90,46.3
C,85,35,1,50,90,47.5
C,85,40,1,50,90,47.8
C,85,45,1,50,90,47.6
C,85,50,1,50,90,47.0
C,85,55,1,50,90,46.0
C,85,60,1,50,90,44.7
C,85,65,1,50,90,43.1
C,85,70,1,50,90,41.2
C,85,75,1,50,90,39.4
C,80,20,1,50,90,42.3
C,80,25,1,50,90,44.9
C,80,30,1,50,90,46.8
C,80,35,1,50,90,47.6
C,80,40,1,50,90,48.0
C,80,45,1,50,90,47.7
C,80,50,1,50,90,46.8
C,80,55,1,50,90,45.8
C,80,60,1,50,90,44.3
C,80,65,1,50,90,42.4
C,80,70,1,50,90,40.4
C,80,75,1,50,90,38.5
C,75,20,1,50,90,15.4
C,75,25,1,50,90,15.4
C,75,30,1,50,90,15.4
C,75,35,1,50,90,15.4
C,75,40,1,50,90,15.4
C,75,45,1,50,90,15.4
C,75,50,1,50,90,15.4
C,75,55,1,50,90,15.4
C,75,60,1,50,90,15.4
C,75,65,1,50,90,15.4
C,75,70,1,50,90,15.4
C,75,75,1,50,90,15.4
C,75,20,1,50,85,42.6
C,75,25,1,50,85,45.0
C,75,30,1,50,85,46.5
C,75,35,1,50,85,47.4
C,75,40,1,50,85,47.4
C,75,45,1,50,85,47.0
C,75,50,1,50,85,46.0
C,75,55,1,50,85,44.7
C,75,60,1,50,85,43.1
C,75,65,1,50,85,41.1
C,75,70,1,50,85,39.1
C,75,75,1,50,85,36.8
C,70,20,1,50,85,43.1
C,70,25,1,50,85,45.4
C,70,30,1,50,85,46.9
C,70,35,1,50,85,47.6
C,70,40,1,50,85,47.6
C,70,45,1,50,85,46.8
C,70,50,1,50,85,45.7
C,70,55,1,50,85,44.2
C,70,60,1,50,85,42.2
C,70,65,1,50,85,40.4
C,70,70,1,50,85,37.9
C,70,75,1,50,85,35.6
C,65,20,1,50,85,43.5
C,65,25,1,50,85,45.9
C,65,30,1,50,85,47.2
C,65,35,1,50,85,47.7
C,65,40,1,50,85,47.5
C,65,45,1,50,85,46.7
C,65,50,1,50,85,45.2
