,Weight,Elevators,theta,rou,result
14649,9,42,41,90,42.3
5624,45,16,41,110,15.3
18468,45,52,38,110,47.2
23308,24,66,35,90,36.3
9484,87,26,41,90,25.7
6730,0,20,38,110,6.8
17887,63,50,41,110,48.0
5121,75,14,41,115,16.4
3465,45,10,35,95,6.5
852,70,35,50,85,47.6
13861,0,40,35,100,44.0
1425,35,30,55,65,45.3
22097,54,62,38,90,43.6
13190,6,38,35,105,47.1
24784,20,10,48,70,39.1
7853,60,22,35,90,7.8
7936,72,22,35,85,8.9
20497,30,58,35,105,43.1
26080,35,25,48,70,45.6
23917,49,68,35,90,42.0
11094,12,32,38,90,46.1
27854,35,46,52,90,15.7
7929,69,22,41,85,27.1
28766,100,55,52,90,15.7
1646,93,41,43,110,43.7
7767,45,22,41,115,16.4
15458,24,44,35,110,47.4
6156,21,18,35,110,6.4
20852,81,58,35,95,41.7
11314,42,32,41,105,45.1
26777,10,34,48,75,43.0
3187,3,10,41,105,7.5
13903,6,40,35,105,46.4
19957,54,56,38,100,45.7
2089,64,32,43,105,42.6
26738,95,31,52,90,15.7
2173,66,48,43,105,48.0
4626,6,14,38,90,15.3
2417,52,57,43,100,45.3
13369,30,38,41,90,46.8
5713,60,16,35,100,6.0
28887,50,58,48,65,37.0
28736,90,55,48,90,46.2
18005,81,50,38,105,43.1
21371,51,60,41,100,44.5
2314,57,56,43,105,46.6
1759,87,43,43,105,45.1
22049,48,62,35,95,43.8
20317,3,58,38,115,7.2
14606,3,42,41,85,38.3
23715,81,66,38,95,44.5
12104,54,34,38,100,36.0
13962,15,40,35,85,44.6
3902,3,12,41,110,15.3
91,25,60,30,100,42.1
21308,42,60,41,100,42.6
14427,81,40,35,100,8.3
14959,54,42,38,100,43.9
4448,81,12,41,110,9.2
21087,12,60,35,115,6.4
15177,84,42,41,105,42.7
9217,51,26,35,85,10.7
19863,42,56,35,85,43.3
6193,27,18,35,85,9.5
20364,9,58,41,105,7.5
17640,30,50,35,100,45.6
8922,6,26,41,115,16.4
12106,54,34,38,110,35.0
16891,24,48,38,100,45.4
6068,9,18,35,90,9.8
12855,60,36,35,110,7.2
18585,63,52,35,100,42.9
784,95,55,50,90,46.4
28819,20,58,48,85,3.4
9977,57,28,35,105,7.0
8817,93,24,41,115,10.2
28804,15,58,48,70,18.0
10082,72,28,35,105,6.2
9970,54,28,41,105,36.5
26264,5,28,48,90,14.8
18727,81,52,41,110,47.1
23367,30,66,41,105,33.9
3972,15,12,35,110,5.5
21111,15,60,38,95,31.6
20951,93,58,41,100,46.0
20343,6,58,41,105,7.5
12455,3,36,35,105,47.4
8141,99,22,41,95,15.1
24910,70,10,52,70,40.1
8165,0,24,41,110,15.3
17,10,65,35,50,26.8
29375,40,64,52,75,27.3
21649,93,60,35,90,39.6
14671,12,42,41,95,44.1
1448,20,10,55,60,44.8
28565,20,55,48,75,26.6
10066,69,28,38,95,13.5
18176,3,52,41,85,22.9
9435,81,26,38,90,12.6
18509,51,52,38,105,46.8
17009,42,48,35,95,44.5
18009,81,50,41,90,44.8
4527,93,12,41,85,15.0
4743,21,14,41,115,16.4
21987,39,62,35,100,43.5
12482,6,36,38,100,47.2
422,0,55,40,100,16.6
28300,15,52,48,70,26.0
29328,20,64,52,80,0.4
4959,54,14,35,110,5.5
4973,54,14,41,110,15.3
14856,39,42,38,110,47.5
5342,6,16,38,100,13.2
10727,60,30,41,110,36.4
12516,12,36,35,95,45.9
8002,81,22,35,100,6.0
18099,96,50,35,85,31.0
830,75,45,50,90,15.4
1715,94,58,43,110,47.8
8257,15,24,35,115,7.4
